id_user_anon,ab
7a674d19-c3b9-4309-995f-3de53611d7a5,control
07d135f2-79cd-43da-b592-64dc0a78e86a,control
8758c497-f2a4-4043-8b16-8f198b68ce66,treatment
bc8fc959-a67e-4360-8723-d600cf36d5c3,treatment
ff003960-371f-4900-91ba-1e0c98397f0d,treatment
2263ff28-696d-4f11-bf21-85edd00b9d29,control
8df36f5b-d185-43c8-8d4a-4cb2338518a9,treatment
859480dd-0669-40d9-94de-598b39d58b76,treatment
2eaa1f59-6df7-47f7-b16a-07b7d8158905,control
094521e5-7955-423e-a63a-57aa40f51da5,treatment
25d78a2b-6097-42aa-9023-975cc8d5822e,treatment
82265c58-6538-43d1-879b-ff5ac9f0da41,control
2f7c579a-a140-4460-a7fc-570d497faa6b,treatment
164d37c2-099d-488e-b342-34fe74d1f6d9,treatment
b7785993-4279-4982-8f88-17f4adf04cfb,treatment
bcd2de79-0c86-4fa6-a09a-842666630ace,treatment
90bacaf1-0745-4650-a952-3c73e27efeed,treatment
35d5e68e-d65f-41c8-b7a5-0baa254f2911,control
0b3bc68f-b659-451a-847d-2aad7dbe5c8f,treatment
a507cd1c-6e94-4384-807c-241edfbfdb28,treatment
ad045718-2640-41eb-b629-9b34f919fe72,treatment
037ff9ba-e31d-4e0e-bb1a-c6333b70490f,treatment
9335bf05-bb91-4fa8-8537-34ec97809dbf,control
7cbd0c46-c00e-44fc-b3c7-c5224a1e7bb9,control
59f94564-3cfe-4230-881b-574d63c5f633,treatment
97b4e80e-bc62-48e0-a56b-f01b8843ef51,control
29931295-022e-4b9f-b087-b74492ce3676,control
a8d80e68-319d-4bbf-aa01-09c213ddc547,treatment
a2375dfc-fc32-4b12-98f1-cf8ff834eb1f,control
532aa1a6-20b6-44f2-9653-4e175a335c50,treatment
badf02af-52d7-449c-9cbb-3ed8dc58f6fa,treatment
95f5390c-bdbe-4f39-8742-d7ea879616b7,treatment
96882084-786d-40b6-a6bf-2d9b836c5f91,treatment
8ab55878-2277-4bc0-b1d1-1fd484935e21,control
ba35ef97-b0f0-4ccc-a918-20e0ae2386e2,treatment
c363098a-f34a-481c-a447-d93a7c1d6ff8,treatment
37c17ea2-c468-40a5-88c5-00ca77bf608f,treatment
dfe00618-0ee7-40a2-aa52-73ad2159c614,control
829a9d83-6f81-491c-ab95-0d97c13791b9,treatment
12ab05c6-a070-451a-9ef3-701559d80909,treatment
6730c50a-3f17-4101-8a55-21b273733b49,treatment
4223d468-bd5c-4353-8094-4461567a8f28,treatment
c06122e1-1a30-42b4-a3a1-4840e3c5f039,control
338384c6-e30d-4c7f-a5f0-cb189f1b7747,control
e3e409d2-5a9d-454b-b847-dd5c99f48fe2,treatment
a6240538-394f-4284-9fb3-45e4e8663221,control
e06538a9-2745-4abd-822b-f4cdadf07b8f,treatment
1a5a96a5-167b-46ee-8b10-997d6f220ece,control
5ad4c2d3-1189-4d02-a4ea-2d74c40b636b,control
0f6a5b5c-5b2d-4835-9c95-a316231a55e1,treatment
e7d81045-77cb-4098-bb0b-53e62ce1dcef,control
54792dba-1661-4963-996e-4b471427bf63,treatment
c831d021-58b6-4d8a-ba56-192b3e8af7a8,control
c3ff7a22-8e27-40ba-8790-aa7154c99857,control
06b568a8-18c7-40aa-ad3e-62bc3d002ca9,control
633eca48-246f-418b-8c61-d0f7af9564ab,treatment
523ca133-f6a9-4cd4-97fb-3a4a084aab3e,control
46955926-7c33-4184-aa25-a60c7d30af55,treatment
2f704b34-cf4f-4015-af21-ba33ddd58e0b,control
4c92dcda-4c50-4300-8945-bf55cafbb614,control
729a31a1-0214-4edc-bd45-3a9d92b271eb,control
9e2e379a-f45c-49cd-9a23-226a83ea1118,treatment
1f115247-efc4-44a5-b952-820f8acdf571,control
dffc952f-4818-4a05-a1ad-66377bf35031,treatment
4d85525e-8ab1-4f7d-b012-692f3e79c216,control
3780ebeb-6307-4c5e-9a44-f5e262c0ffd2,control
2ff9018a-0b09-4bb2-8fd9-fa8faf65efb6,treatment
37acae44-d88e-461b-9077-eca2379d8f0f,treatment
e728838d-c031-4a9e-bac7-14b901a98831,control
6c1255f1-3492-4988-8d7d-ba0f5b3bd049,control
6bb57acd-714b-4174-bd01-429c5381360a,treatment
04d0fbe7-d1ea-4743-bbf8-7d6e477465b0,treatment
ade5e6e2-848d-4d89-a94e-1369a7fc0070,control
89c851ad-de10-4ae4-827e-922df784589a,control
30e24048-095a-4396-9cb5-d41ba1a69fc1,control
f2238db5-d1a2-48c1-8dee-63952cf6be0d,treatment
784a2c93-99c9-49bd-b57f-bc799b09b22e,treatment
4f13880c-fdb2-4f85-97a7-84af3985eac7,treatment
da7b2abf-7f58-4b32-b3ac-f9e039c1e19f,treatment
43bcc072-699e-4d24-ae49-c60705b67ca3,control
12b3bed0-c048-4d1a-bce4-4563a403d21e,control
93d17661-a8da-4c55-8e1f-1dbf6c618caa,control
1bc66423-03fd-4959-ae85-2cc34ce847e8,control
6fa17da3-2ad7-419a-bfc2-5a8730542aae,treatment
421f2060-58b4-42d6-b408-de92cfabe9f8,treatment
021c3b64-a566-4023-8e01-1735e567357a,treatment
12552c71-2319-4654-be4d-61ea1145aa3e,treatment
05e81a63-3317-4af2-a694-a4e3e864dee4,control
c90916b3-2a29-4e8f-839e-60520e04c521,treatment
914ed288-8391-4447-94b2-b3bbe537145f,treatment
cd646bb3-ecd8-4541-b86e-816b5866053e,treatment
0063a6e3-c5c9-41d6-8c0c-515820163fa2,control
15bdb28e-6adc-4cb5-94b8-3efb25e735c0,treatment
c8af804d-bf12-41bb-8e86-a122bf8220a3,treatment
901b3294-8269-4f50-bd5a-47f502d0a10e,control
cb0caa14-00c6-44b6-89e9-5f688633989e,control
041e6b82-ffaa-4cdb-8f68-ace7db5dee23,treatment
bd8540fc-6438-4e6b-945a-a503bd27f988,control
5cb2a21a-dc9a-4805-accc-0becf5d86d98,control
3147d031-0f6d-45a5-a5d4-3e41d8af54f3,control
47a373d6-0c47-4b93-af51-09a25b07cfd3,control
a3991d40-54b4-4a14-88da-1c7c08e854ea,control
455c7a0d-fc1b-4dfa-b2aa-dae0d642e1eb,treatment
d60065bc-e3c1-4d27-aa53-5d55fdec8744,treatment
482ddfb8-c5dc-486e-8255-8cb85177418d,treatment
ab51d1a5-8510-454d-8831-880c1e76dbd0,control
82125395-d4e0-4fa9-a4db-d0e57c688af8,control
796f91a9-58de-44b9-9ef2-a99111815daf,control
4622338d-c968-4640-b772-39013022492a,control
f4ffb5e4-6a6a-41f4-a253-c6ac682b3009,treatment
4dfbb55f-85c8-431a-bff7-51bde1a1a725,treatment
4b824b90-c442-42cc-bbf8-b4aac65f8035,control
712303b3-c03d-49fc-a893-bfc446685039,treatment
c1670af5-eb83-4e23-a53c-13cef69d057a,control
050cf539-81f8-49ed-80da-bdd389778c07,treatment
7b8ef2f7-caf7-40a0-9961-c96b6cf66d87,control
2f0b90b6-4351-4776-a574-cd927af907f6,treatment
43a789cc-26c8-438a-98da-dc78d1d5ab9c,treatment
2f0660a8-0932-4e72-9992-7076987b0e1f,control
da6ef21b-b82b-4bdf-a673-9e64f5166b00,control
1f57547d-c84e-4d9b-a4ac-d3ddee4fd1c4,treatment
17081948-3bae-4b2e-8694-38fbae7011d0,treatment
09a86c86-1281-4eb7-b08b-8efb12acebb1,control
c4591207-fd93-4fb4-947f-bca495cf0dd2,treatment
25a063ea-03e4-48d8-bb84-d5d591489010,control
794c56fc-d425-4f84-94dc-96e55406c782,treatment
e63f5ba6-2182-4c3a-b4b7-33e1c3553568,treatment
922c3b3d-73d5-4a7c-a143-0d637f325bc1,treatment
87f7540f-ec46-4ea6-a48a-ec110c77a5b5,control
cf0537c0-9c86-4f89-9a06-30c7345130c7,control
cf041a75-d260-4c09-a85b-f280326d7016,control
a9330901-9fb0-4238-a24c-00e72a841bd9,treatment
3e2ae0fd-1137-41f1-9098-cefaba775095,treatment
cb2d4dda-8f52-403a-af1f-9ab2598d5467,control
a9bf57a5-c572-4683-a64b-1e42d4001a6d,treatment
bc326471-f14e-4434-871d-02610b69a0f8,treatment
2f8171d2-a72e-4d9e-85b3-da45c4153b5e,treatment
be911330-b667-434d-b626-7fa71e729f7e,treatment
87c043f8-a674-47e1-b4d2-fdef28541371,treatment
957eaa1a-bbb8-4938-bfbc-7530afa17221,treatment
ccdb5cf7-b369-4fb4-b425-5d5bad52d58f,treatment
c1e39115-4228-4c78-b059-39ad10bcca79,treatment
a0a4a7f8-0a36-40f7-9103-d130f5f13497,treatment
7c1f42b6-f741-421d-b8f9-93d4e895cbc5,control
a048cf53-0e5c-4916-a626-d126d5f9f88b,treatment
896ef32c-cc41-4aee-9e74-c3535cd42c33,control
0c6cc69a-c43e-4e7c-a4e6-d329245f8629,treatment
459dd8cf-d678-4aaf-8ffe-74051eb158b1,treatment
ef9e21d2-6b5c-41aa-b7f2-890dba5143ad,treatment
40613d26-1395-4c7e-acd1-f572178b474e,treatment
6619ee74-6f4b-40e3-af49-23eb892f2c14,control
72e305ca-12c9-4a91-b332-013d01c2a76f,control
b624eadf-7a0f-4f6e-b3c2-0e33d808a77e,treatment
59460ac7-88b6-4031-917d-285d496dc3d7,treatment
8681f9d6-f6de-4764-90b2-d4950dedbfd7,treatment
